"Name","Memory","vCPUs","CPU Type","GPU Number","GPU Type","Premium Storage support","Premium Storage Caching support","Live migration support","VM generation support","Maximum Local Disks","Maximum Data Disks","Disk IOPS","Maximum Network Interface","Temporary Storage (Gb)","Expected network bandwidth (Mbps)","Low Priority cost","1 year reserved cost","3 year reserved cost","Linux Pay As You Go cost","Windows Pay As You Go cost"
"HB120rs v2","","","","","","False","False","False","","","","","","","","Unavailable","2.7 hourly","1.8 hourly","3.6 hourly","9.12 hourly"
"HB120rs v3","","","","","","False","False","False","","","","","","","","Unavailable","2.7 hourly","1.8 hourly","3.6 hourly","9.12 hourly"
"HB60rs","240 Gib","60","AMD EPYC 7551","0","","True","True","False","Generation 1 and 2","700","4","0","8","700","","Unavailable","1.93801 hourly","1.596 hourly","2.28 hourly","5.04 hourly"
"HC44rs","352 Gib","44","Intel Xeon Platinum 8168","0","","True","True","False","Generation 1 and 2","700","4","0","8","700","","Unavailable","2.69281 hourly","2.21762 hourly","3.168 hourly","5.192 hourly"
"L16s","128 Gib","16","Intel Xeon processor E5 v3 family","0","","True","False","False","unspecified","2807","64","20000/500","8","2807","16000","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"L16s v2","128 Gib","16","AMD EPYC 7551","0","","True","False","False","Generation 1 and 2","160","32","16000/1280","4","160","6400","Unavailable","0.79498 hourly","0.52789 hourly","1.248 hourly","1.984 hourly"
"L32s","256 Gib","32","Intel Xeon processor E5 v3 family","0","","True","False","False","unspecified","5630","64","40000/1000","8","5630","20000","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"L32s v2","256 Gib","32","AMD EPYC 7551","0","","True","False","False","Generation 1 and 2","320","32","32000/1280","8","320","12800","Unavailable","1.58995 hourly","1.05582 hourly","2.496 hourly","3.968 hourly"
"L48s v2","384 Gib","48","AMD EPYC 7551","0","","True","False","False","Generation 1 and 2","480","32","48000/2000","8","480","16000+","Unavailable","2.38493 hourly","1.58356 hourly","3.744 hourly","5.952 hourly"
"L4s","32 Gib","4","Intel Xeon processor E5 v3 family","0","","True","False","False","unspecified","678","16","5000/125","2","678","4000","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"L64s v2","512 Gib","64","AMD EPYC 7551","0","","True","False","False","Generation 1 and 2","640","32","64000/2000","8","640","16000+","Unavailable","3.17991 hourly","2.11161 hourly","4.992 hourly","7.936 hourly"
"L80s v2","640 Gib","80","AMD EPYC 7551","0","","True","False","False","Generation 1 and 2","800","32","80000/2000","8","800","16000+","Unavailable","3.97489 hourly","2.63927 hourly","6.24 hourly","9.92 hourly"
