interruptionFrequency,savingsOverOnDemand,instanceType
10-15%,74,c6gd.large
15-20%,85,m5dn.metal
<5%,80,m4.xlarge
5-10%,70,im4gn.8xlarge
<5%,70,i3en.2xlarge
>20%,70,h1.16xlarge
10-15%,84,r5ad.4xlarge
<5%,85,r5d.large
>20%,75,m6i.16xlarge
<5%,77,m6gd.xlarge
5-10%,70,im4gn.16xlarge
<5%,70,i4i.large
15-20%,77,r5d.4xlarge
5-10%,70,i3en.6xlarge
>20%,70,p2.8xlarge
<5%,79,m5ad.2xlarge
5-10%,70,t2.micro
5-10%,83,r5dn.8xlarge
10-15%,80,r5a.16xlarge
5-10%,83,r6i.2xlarge
15-20%,70,d3.2xlarge
10-15%,81,m5ad.xlarge
<5%,80,c4.2xlarge
5-10%,70,is4gen.medium
<5%,80,m5d.2xlarge
>20%,70,inf1.xlarge
<5%,88,m5zn.12xlarge
>20%,70,inf1.24xlarge
10-15%,70,x2iedn.2xlarge
5-10%,84,r5ad.xlarge
<5%,79,m5.large
5-10%,78,r5a.8xlarge
<5%,70,t2.large
<5%,78,m4.2xlarge
<5%,70,t3a.2xlarge
15-20%,85,m5dn.16xlarge
<5%,83,r5.xlarge
>20%,70,x1e.16xlarge
5-10%,70,c6i.16xlarge
15-20%,78,r5d.12xlarge
15-20%,85,r5d.metal
<5%,74,c6gd.16xlarge
15-20%,68,c5d.9xlarge
5-10%,87,r5dn.2xlarge
5-10%,83,r6i.xlarge
15-20%,71,c6g.2xlarge
10-15%,67,g4ad.4xlarge
<5%,79,r5.2xlarge
5-10%,87,r5dn.metal
<5%,70,t4g.medium
15-20%,80,r6gd.metal
<5%,62,r5d.2xlarge
<5%,70,t3a.medium
10-15%,83,r6i.32xlarge
10-15%,77,m5a.24xlarge
<5%,78,m5.xlarge
15-20%,84,r5d.8xlarge
<5%,85,r4.xlarge
10-15%,88,m5zn.metal
5-10%,76,m5a.16xlarge
>20%,70,p3.16xlarge
<5%,70,g4ad.8xlarge
>20%,83,m5n.12xlarge
<5%,78,c5.24xlarge
5-10%,82,c5n.metal
>20%,70,i2.2xlarge
<5%,80,m4.4xlarge
<5%,74,c6gd.12xlarge
15-20%,70,i4i.xlarge
>20%,70,p2.16xlarge
>20%,70,g3.8xlarge
5-10%,77,m6gd.4xlarge
5-10%,77,m5a.xlarge
>20%,70,z1d.large
15-20%,83,m5n.24xlarge
>20%,70,i3.2xlarge
15-20%,83,m5n.8xlarge
5-10%,70,im4gn.xlarge
10-15%,70,m6i.8xlarge
<5%,75,m5a.2xlarge
5-10%,79,c4.8xlarge
