AvailabilityZone,Duration,FixedPrice,InstanceType,ProductDescription,ReservedInstancesOfferingId,UsagePrice,CurrencyCode,InstanceTenancy,Marketplace,OfferingClass,OfferingType,PricingDetails,RecurringCharges,Scope
us-east-1c,94608000,0.0,a1.metal,Linux/UNIX,43783c1f-254d-4163-b99e-557dc642ce0d,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.176, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,0.0,a1.metal,Linux/UNIX,f934ca2f-6ba7-4f6b-b0ce-f6ae86bc1039,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.203, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,1072.0,a1.metal,Linux/UNIX,9eb446d3-a1f4-4a5f-8fc4-fb8426f2aafc,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.122, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,1233.0,a1.metal,Linux/UNIX,eb1d9a14-5372-4e71-88cd-097b2fc048fd,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.141, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,2144.0,a1.metal,Linux/UNIX,bdfabdf9-d40a-40ab-9c23-977db242b450,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.082, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,2466.0,a1.metal,Linux/UNIX,0fc6cf59-97e9-430a-a7c9-9ca0d1a9d6b9,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.094, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,525.0,a1.xlarge,Linux/UNIX,b4227c90-cda5-489f-a474-a5a541b7bcfd,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,604.0,a1.xlarge,Linux/UNIX,482687df-a801-4455-881d-e276459de96f,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,1008.0,a1.xlarge,Linux/UNIX,7626dae4-3fba-4128-9c12-02649c9a5929,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,1208.0,a1.xlarge,Linux/UNIX,069633c4-60bf-48cb-b25a-b5fbad2dcc31,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,a1.xlarge,Linux/UNIX,147575d4-328b-41f4-9423-a02c8f6fba0c,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.0643, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,a1.xlarge,Linux/UNIX,87872aa6-9689-44dc-b4a8-14b7fbc6c032,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.0739, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,0.0,a1.xlarge,Linux/UNIX,2760b0a6-68f7-4ad3-9c82-1e1ba40f42c5,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.0441, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,0.0,a1.xlarge,Linux/UNIX,face90d8-778e-4c7f-9be8-fafe6c8bc6b1,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.0507, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,268.0,a1.xlarge,Linux/UNIX,5bf6541c-da07-4bce-9a20-d3d09a9b12ce,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0306, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,308.0,a1.xlarge,Linux/UNIX,262e1edc-80b8-41fc-9b12-65bd80a96a70,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.0352, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,536.0,a1.xlarge,Linux/UNIX,e3901d6d-94ec-402f-a075-dac1f1978354,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0204, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,617.0,a1.xlarge,Linux/UNIX,365f4969-f911-484e-8b02-d6441140f637,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.0235, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,671.0,c1.medium,Linux/UNIX,dc363ade-7c89-4bb1-a6f9-8a5f07f1cb9c,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,1284.0,c1.medium,Linux/UNIX,dcfa3f87-71e8-4c61-a332-07cab58fae98,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,c1.medium,Linux/UNIX,6eecf9c7-4065-4d46-831c-3ee7c19a6958,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.091, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,405.0,c1.medium,Linux/UNIX,3e42893a-504b-40b6-89f3-6f58d7608922,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.032, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,631.0,c1.medium,Linux/UNIX,e270e90b-b6eb-490e-b96f-650b4c4e49ce,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.028, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,2703.0,c1.xlarge,Linux/UNIX,dc92210b-5d04-4e40-8ebc-104fa3006fd8,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,5139.0,c1.xlarge,Linux/UNIX,17c5134b-bde4-41e0-9d89-917e54cae9fc,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,c1.xlarge,Linux/UNIX,564024a4-40ee-4bd7-b27e-f46f3b6f4657,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.364, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,1620.0,c1.xlarge,Linux/UNIX,8d73742d-c941-488c-829e-8b923875e8ee,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.13, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,2524.0,c1.xlarge,Linux/UNIX,b03436bd-bacd-432a-b633-5ff85de06826,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.112, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,2170.0,c3.2xlarge,Linux/UNIX,95bbdecd-fea6-4de9-abab-1ea75b53e6a3,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,2496.0,c3.2xlarge,Linux/UNIX,9f5cdbfe-0058-4d83-a41d-5e7aafa42471,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,4132.0,c3.2xlarge,Linux/UNIX,b93db854-3269-4a8c-8c69-9e2cbb79b542,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,5859.0,c3.2xlarge,Linux/UNIX,8f1b269c-422a-4a4b-bb49-5f9f613da12c,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,c3.2xlarge,Linux/UNIX,2070c4fa-d9a8-4328-8844-e09864ce2f20,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.292, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,c3.2xlarge,Linux/UNIX,497bfbca-475e-4c59-b63d-9a977d80c55f,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.305, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,0.0,c3.2xlarge,Linux/UNIX,b7150dd0-77c1-46cb-ba7d-bd29a64109d5,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.263, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,1304.0,c3.2xlarge,Linux/UNIX,7a093020-a415-4518-9b78-326010598e8e,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.104, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,1273.0,c3.2xlarge,Linux/UNIX,b1814ebf-a39f-4f0b-a00f-e9f48b1a8d31,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.145, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,2031.0,c3.2xlarge,Linux/UNIX,fd598512-28ab-44ea-9373-ccea6d345d98,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.09, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,3521.0,c3.2xlarge,Linux/UNIX,b2daf88c-3460-4869-98d1-77454aca22d4,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.094, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,4350.0,c3.4xlarge,Linux/UNIX,d33ec30e-4121-440e-b664-6504072231a4,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
