"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"M6ID Metal","m6id.metal","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$7.5936 hourly","$3.2804 hourly","$2.1285 hourly","$13.4816 hourly","$9.1684 hourly"
"M6IDN 24xlarge","m6idn.24xlarge","384.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","$7.6378 hourly","$2.9696 hourly","$2.0605 hourly","$12.0538 hourly","$7.3856 hourly"
"G4DN Metal","g4dn.metal","384.0 GiB","96 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","$7.8240 hourly","$3.3800 hourly","$4.1218 hourly","$12.2400 hourly","$7.7960 hourly"
"R5DN Metal","r5dn.metal","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$8.0160 hourly","$3.2640 hourly","$1.7322 hourly","$12.4320 hourly","$7.6800 hourly"
"R5DN 24xlarge","r5dn.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$8.0160 hourly","$3.2640 hourly","$2.0357 hourly","$12.4320 hourly","$7.6800 hourly"
"R6I Metal","r6i.metal","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","$8.0640 hourly","$3.6578 hourly","$2.4910 hourly","$13.9520 hourly","$9.5458 hourly"
"R6I 32xlarge","r6i.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","$8.0640 hourly","$3.6578 hourly","$2.3685 hourly","$13.9520 hourly","$9.5458 hourly"
"M6A 48xlarge","m6a.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","$8.2944 hourly","$3.7623 hourly","$3.8173 hourly","$17.1264 hourly","$12.5943 hourly"
"M6A Metal","m6a.metal","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","$8.2944 hourly","$3.7623 hourly","$4.2046 hourly","$17.1264 hourly","$12.5943 hourly"
"R6IN 24xlarge","r6in.24xlarge","768.0 GiB","96 vCPUs","EBS only","150 Gigabit","$8.3678 hourly","$3.3881 hourly","$1.5836 hourly","$12.7838 hourly","$7.8041 hourly"
"M6IN 32xlarge","m6in.32xlarge","512.0 GiB","128 vCPUs","EBS only","200 Gigabit","$8.9107 hourly","$3.4346 hourly","$2.0890 hourly","$14.7987 hourly","$9.3226 hourly"
"M6IN Metal","m6in.metal","512.0 GiB","128 vCPUs","EBS only","200 Gigabit","$8.9107 hourly","$3.4346 hourly","$2.0931 hourly","$14.7987 hourly","$9.3226 hourly"
"R6IDN 24xlarge","r6idn.24xlarge","768.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","$9.3787 hourly","$3.8186 hourly","$2.0575 hourly","$13.7947 hourly","$8.2346 hourly"
"R6ID 32xlarge","r6id.32xlarge","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$9.6768 hourly","$4.1818 hourly","$2.7857 hourly","$15.5648 hourly","$10.0698 hourly"
"R6ID Metal","r6id.metal","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$9.6768 hourly","$4.1818 hourly","$2.4731 hourly","$15.5648 hourly","$10.0698 hourly"
"X2IDN 24xlarge","x2idn.24xlarge","1536.0 GiB","96 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$10.0035 hourly","$3.2087 hourly","$4.2817 hourly","$14.4195 hourly","$7.6247 hourly"
