Instance Type,Region,vCpus,Memory,Network,Hourly Price
d3en.4xlarge,US East (N. Virginia),16,64 GiB,25 Gigabit,0.0000000000
m5zn.metal,US East (N. Virginia),48,192 GiB,100 Gigabit,3.9641000000
h1.4xlarge,US East (N. Virginia),16,64 GiB,Up to 10 Gigabit,0.9360000000
m5d.metal,US East (N. Virginia),96,384 GiB,25 Gigabit,5.4240000000
r6i.xlarge,US East (N. Virginia),4,32 GiB,Up to 12500 Megabit,0.2520000000
m5a.24xlarge,US East (N. Virginia),96,384 GiB,20 Gigabit,0.0000000000
r3.8xlarge,US East (N. Virginia),32,244 GiB,10 Gigabit,2.6600000000
t3a.2xlarge,US East (N. Virginia),8,32 GiB,Up to 5 Gigabit,0.0000000000
m6gd.4xlarge,US East (N. Virginia),16,64 GiB,Up to 10 Gigabit,0.7232000000
c6i.24xlarge,US East (N. Virginia),96,192 GiB,37500 Megabit,4.0800000000
t3a.micro,US East (N. Virginia),2,1 GiB,Up to 5 Gigabit,0.0094000000
vt1.24xlarge,US East (N. Virginia),96,192 GiB,25000 Megabit,0.0000000000
c6g.8xlarge,US East (N. Virginia),32,64 GiB,12 Gigabit,0.0000000000
r7g.2xlarge,US East (N. Virginia),8,64 GiB,Up to 15 Gigabit,0.4284000000
r5b.metal,US East (N. Virginia),96,768 GiB,25 Gigabit,0.0000000000
g5g.metal,US East (N. Virginia),64,128 GiB,25 Gigabit,0.0000000000
m5a.12xlarge,US East (N. Virginia),48,192 GiB,10 Gigabit,0.0000000000
m6g.16xlarge,US East (N. Virginia),64,256 GiB,25 Gigabit,2.4640000000
r6in.large,US East (N. Virginia),2,16 GiB,Up to 25000 Megabit,0.1743300000
x2gd.4xlarge,US East (N. Virginia),16,256 GiB,Up to 10 Gigabit,1.3360000000
r7g.8xlarge,US East (N. Virginia),32,256 GiB,15 Gigabit,0.0000000000
r4.xlarge,US East (N. Virginia),4,30.5 GiB,Up to 10 Gigabit,0.2660000000
m5zn.6xlarge,US East (N. Virginia),24,96 GiB,50 Gigabit,1.9820000000
r5dn.24xlarge,US East (N. Virginia),96,768 GiB,100 Gigabit,8.0160000000
c6gn.2xlarge,US East (N. Virginia),8,16 GiB,Up to 25 Gigabit,0.0000000000
