AvailabilityZone,Duration,FixedPrice,InstanceType,ProductDescription,ReservedInstancesOfferingId,UsagePrice,CurrencyCode,InstanceTenancy,Marketplace,OfferingClass,OfferingType,PricingDetails,RecurringCharges,Scope
us-east-1b,94608000,0.0,a1.xlarge,Linux/UNIX,b3b87593-e533-467e-8fcb-32e3616f51e3,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.0441, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,268.0,a1.xlarge,Linux/UNIX,08c4e1e0-8840-4fa0-b9be-623dc0939740,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0306, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,536.0,a1.xlarge,Linux/UNIX,50b32cfa-60f3-419e-9516-598016b43852,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0204, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,671.0,c1.medium,Linux/UNIX,8800b0b2-536f-4bab-9072-a6b9b9341146,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,1284.0,c1.medium,Linux/UNIX,48bd6e35-cf54-45e1-967e-a024a27e9150,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,0.0,c1.medium,Linux/UNIX,c2d06299-5795-49d3-841b-2770b4d8950f,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.091, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,405.0,c1.medium,Linux/UNIX,828d7798-a1ae-4b92-bacb-fcffb01d352a,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.032, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,631.0,c1.medium,Linux/UNIX,ee45d27e-0bcb-4385-8575-138fa0b5dfcd,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.028, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,2703.0,c1.xlarge,Linux/UNIX,afe23c09-4b34-4901-93f9-48c12ab4e7a4,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,5139.0,c1.xlarge,Linux/UNIX,7672d7be-86b0-4911-81ea-67fde04e52a9,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,0.0,c1.xlarge,Linux/UNIX,d15f1f99-d43a-462d-82f5-7f3a559d72a8,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.364, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,1620.0,c1.xlarge,Linux/UNIX,fec01ede-2634-4c49-a675-e2b9a756ba8b,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.13, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,2524.0,c1.xlarge,Linux/UNIX,bad8f1d3-2a7b-4ea7-a0fd-6f4d4dcd64d5,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.112, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,4350.0,c3.4xlarge,Linux/UNIX,d53a78e2-24d5-421a-b85e-9b88214a3de5,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,2078.0,c4.2xlarge,Linux/UNIX,bcdb3dae-6b8a-4d80-ba8e-ff00c51cadaa,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,2369.0,c4.2xlarge,Linux/UNIX,b0a46406-c9e1-4de3-a25e-da4d48f9f4a3,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,4076.0,c4.2xlarge,Linux/UNIX,cc25d558-a997-44ae-9956-5f44a5beed36,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,4857.0,c4.2xlarge,Linux/UNIX,27696548-5944-4e51-a182-7912514b2d7b,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,0.0,c4.2xlarge,Linux/UNIX,46dd6f3c-98a5-4858-a725-9a09c170d083,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.252, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,0.0,c4.2xlarge,Linux/UNIX,b75a92a6-0370-4628-a820-fafacff98e38,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.29, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,0.0,c4.2xlarge,Linux/UNIX,d8bde7f6-6b7a-48a3-b42d-e7dd4eb6228a,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.177, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,0.0,c4.2xlarge,Linux/UNIX,55226326-5267-4e4d-a818-d64bee2e95a1,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.204, 'Frequency': 'Hourly'}]",Availability Zone
